id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
925,233829,JG403200,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,269,269
926,233829,JG403600,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,270,270
927,233829,JG511010,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,271,271
928,233829,JG511016,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,272,272
929,233829,JG511021,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,273,273
930,233829,JG511022,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,274,274
931,233829,JG511046,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,275,275
932,233829,JG511270,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,276,276
933,233829,JG531039,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,277,277
934,233829,JG531040,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,278,278
935,233829,JG531207,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,279,279
936,233829,JG531215,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,280,280
937,233829,JG531228,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,281,281
938,233829,JG531229,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,282,282
939,233829,JG541021,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,283,283
940,233829,JG541046,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,284,284
941,233829,JG541074,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,285,285
942,233829,JG561008,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,286,286
943,233829,JG561009,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,287,287
944,233829,JG561010,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,288,288
945,233829,JG561204,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,289,289
946,233829,JG561205,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,290,290
947,233829,JG561216,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,291,291
948,233829,JG561222,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,292,292
949,233829,JG561226,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,293,293
950,233829,JG571014,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,294,294
951,233829,JG571015,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,295,295
952,233829,JG571016,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,296,296
953,233829,JG571024,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,297,297
954,233829,JG581014,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,298,298
955,233829,JG581036,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,299,299
956,233829,JG581056,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,300,300
957,233829,JG581061,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,301,301
958,233829,JG591055,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,302,302
959,233829,JG591070,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,303,303
960,233829,JG591096,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,304,304
961,233829,JG601005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,305,305
962,233829,JG601007,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,306,306
963,233829,JG601011,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,307,307
964,233829,JG601012,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,308,308
965,233829,JG601013,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,309,309
966,233829,JG601014,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,310,310
967,233829,JG601016,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,311,311
968,233829,JG601019,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,312,312
969,233829,JG601208,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,313,313
970,233829,JG601209,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,314,314
971,233829,JG601210,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,315,315
972,233829,JG601211,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,316,316
973,233829,JG601213,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,317,317
974,233829,JG601215,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,318,318
975,233829,JG601221,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,319,319
976,233829,JG601234,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,320,320
977,233829,JG71014M,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,321,321
978,233829,JG72024W,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,322,322
979,233829,JG72025S,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,323,323
980,233829,JG72034W,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,324,324
981,233829,JG72044W,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,325,325
982,233829,JG72054W,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,326,326
983,233829,JG73015S,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,327,327
984,233829,JG73025S,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,328,328
985,233829,JL403000,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,329,329
986,233829,JL403001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,330,330
987,233829,JL511219,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,331,331
988,233829,JN181029,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,332,332
989,233829,JN351604,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,333,333
990,233829,JU113801,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,334,334
991,233829,JU121005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,335,335
992,233829,JU131004,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,336,336
993,233829,JU131805,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,337,337
994,233829,JU161200,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,338,338
995,233829,JU181000,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,339,339
996,233829,JU181200,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,340,340
997,233829,JU181201,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,341,341
998,233829,JU181405,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,342,342
999,233829,JU181408,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,343,343
1000,233829,JU181409,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,344,344
1001,233829,JU181410,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,345,345
1002,233829,JU181411,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,346,346
1003,233829,JU181412,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,347,347
1004,233829,JU181415,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,348,348
1005,233829,JU231204,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,349,349
1006,233829,JU231205,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,350,350
1007,233829,JU231206,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,351,351
1008,233829,JU231207,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,352,352
1009,233829,JU232800,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,353,353
1010,233829,JU232805,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,354,354
1011,233829,JU401400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,355,355
1012,233829,JU402000,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,356,356
1013,233829,JU402400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,357,357
1014,233829,JU511204,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,358,358
1015,233829,JU531011,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,359,359
1016,233829,JU561400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,360,360
1017,233829,JU561401,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,361,361
1018,233829,JY113400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,362,362
1019,233829,JY113401,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,363,363
1020,233829,JY113800,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,364,364
1021,233829,JY113801,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,365,365
1022,233829,JY161200,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,366,366
1023,233829,JY161201,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,367,367
1024,233829,JY171800,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,368,368
1025,233829,JY181201,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,369,369
1026,233829,JY181217,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,370,370
1027,233829,JY181218,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,371,371
1028,233829,JY181219,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,372,372
1029,233829,JY351009,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,373,373
1030,233829,JY351204,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,374,374
1031,233829,JY351205,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,375,375
1032,233829,JY351400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,376,376
1033,233829,JY351604,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,377,377
1034,233829,JY351800,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,378,378
