id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id,sku_code
178,211760,DE191027,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,179,179,00DH15ZZ
179,211760,DE191028,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,180,180,00DH15ZZ
180,211760,DE191029,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,181,181,00DH15ZZ
181,211760,DE191033,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,182,182,00DH15ZZ
182,211760,DE191036,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,183,183,00DH15ZZ
183,211760,DE191037,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,184,184,00DH15ZZ
184,211760,DF101055,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,185,185,00DH15ZZ
185,211760,DF161102,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,186,186,00DH15ZZ
186,211760,DF181098,0,4,EA,2010-12-01,9999-12-31,45,Head Lamp Fairing,,SCH01011210,,187,187,00DH15ZZ
187,211760,DG101029,0,4,EA,2010-12-01,9999-12-31,3,Valve,,SCH01011210,,188,188,00DH15ZZ
188,211760,DG101418,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,189,189,00DH15ZZ
189,211760,DG111008,0,2,EA,2010-12-01,9999-12-31,22,"Magneto, CDI & H.T. Coil",,SCH01011210,,190,190,00DH15ZZ
190,211760,DG121002,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,191,191,00DH15ZZ
191,211760,DG141028,0,1,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,192,192,00DH15ZZ
192,211760,DG171038,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,193,193,00DH15ZZ
193,211760,DG181008,0,4,EA,2010-12-01,9999-12-31,29,Mudguard - Front & Rear,,SCH01011210,,194,194,00DH15ZZ
194,211760,DH010050,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,195,195,00DH15ZZ
195,211760,DH101006,0,1,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,196,196,00DH15ZZ
196,211760,DH101016,0,1,EA,2010-12-01,9999-12-31,5,Cylinder & Piston,,SCH01011210,,197,197,00DH15ZZ
197,211760,DH101018,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,198,198,00DH15ZZ
198,211760,DH101048,0,1,EA,2010-12-01,9999-12-31,4,Camshaft & Tensioner,,SCH01011210,,199,199,00DH15ZZ
199,211760,DH101064,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,200,200,00DH15ZZ
200,211760,DH101065,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,201,201,00DH15ZZ
201,211760,DH101066,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,202,202,00DH15ZZ
202,211760,DH101072,0,1,EA,2010-12-01,9999-12-31,7,Balancer & Balancer Idler Gear,,SCH01011210,,203,203,00DH15ZZ
203,211760,DH101078,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,204,204,00DH15ZZ
204,211760,DH101079,0,3,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,205,205,00DH15ZZ
205,211760,DH101080,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,206,206,00DH15ZZ
206,211760,DH101082,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,207,207,00DH15ZZ
207,211760,DH101084,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,208,208,00DH15ZZ
208,211760,DH101108,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,209,209,00DH15ZZ
209,211760,DH101110,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,210,210,00DH15ZZ
210,211760,DH101111,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,211,211,00DH15ZZ
211,211760,DH101117,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,212,212,00DH15ZZ
212,211760,DH101121,0,1,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,213,213,00DH15ZZ
213,211760,DH101123,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,214,214,00DH15ZZ
214,211760,DH101125,0,1,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,215,215,00DH15ZZ
215,211760,DH101141,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,216,216,00DH15ZZ
216,211760,DH101142,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,217,217,00DH15ZZ
217,211760,DH101144,0,1,EA,2010-12-01,9999-12-31,10,Gear Change Mechanism,,SCH01011210,,218,218,00DH15ZZ
218,211760,DH101146,0,1,EA,2010-12-01,9999-12-31,9,Change Drum & Shaft Fork,,SCH01011210,,219,219,00DH15ZZ
219,211760,DH101152,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,220,220,00DH15ZZ
220,211760,DH101154,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,221,221,00DH15ZZ
