ASM Ticket No,Dealer Code,Dealer Name,City,Rg,tickets
54570,11480,I RIDE ENTERPRISES PVT LTD,NAGPUR,MAH,#N/A
54570,11612,AARYAN  MOTORS,BHANDARA,MAH,#N/A
54570,11616,SARBANI  MOTORS,GADCHIROLI,MAH,#N/A
54570,25669,PATNI AUTO SER CENTRE,NAGPUR,MAH,#N/A
57020,10219,M.G.BROTHERS AUTOMOBILES LTD.,NELLORE,AP,#N/A
57020,10279,RITHVIKAA MOTORS,ANANTPUR,AP,#N/A
57020,10326,SRI RAM ENTERPRISES,TIRUPATI,AP,57020
57020,10467,M.G.B. MOTOR & AUTO AGENCIES,KURNOOL,AP,#N/A
57020,10468,BHAGYALAKSHMI AUTOMOBILES,CHITTOOR,AP,57020
57020,10649,HAROON MOTORS,CUDDAPAH,AP,54559
57020,10914,NANDI BAJAJ,NANDYAL,AP,#N/A
57020,11419,RITHVIKAA MOTORS,HINDUPUR,AP,#N/A
57020,11462,SREE GAYATHRI BAJAJ,NELLORE,AP,#N/A
57020,11514,BHARATH  BAJAJ,KURNOOL,AP,#N/A
57020,11683,RAGOVA DEVELOPERS & AUTO SERVICES,TIRUPATI,AP,57020
57020,11865,HAROON MOTORS,PRODDATUR,AP,54559
55983,10134,GUPTA AUTOMOTIVE,BHAGALPUR,BH,#N/A
55983,10302,ROHRI MOTORS,PURNEA,BH,#N/A
55983,10439,CHANDRA PRAKASH AUTOMOBILES,BEGUSARAI,BH,#N/A
55983,10489,MITHILANCHAL  MOTORS,MADHUBANI,BH,#N/A
55983,10769,SHREE BAJAJ,DHARBHANGA,BH,#N/A
55983,11084,S R SALES,BIHARSHARIF,BH,#N/A
55983,11341,PARADISE AUTOMOBILES,SAHARSA,BH,#N/A
55983,11362,DURGESHWARI MOTORS,KISHANGANJ,BH,#N/A
55983,11578,MAHARSHI SANTSEVI MOTORS PRIVATE,KATIHAR,BH,#N/A
55983,11691,JUBILEE  BAJAJ,KHAGARIA,BH,#N/A
56575,10509,DHONKARIA MOTORS,DAUSA,RJ,#N/A
56575,10729,GANAPATI MOTORS,HANUMANGARH,RJ,#N/A
56575,11435,HIMMAT MOTORS,JALORE,RJ,#N/A
56575,11506,OM  SAI  MOTORS,PALI,RJ,#N/A
56575,10912,SHREE AMBA BAJAJ,SRI GANGANAGAR,RJ,#N/A
56575,10693,OM SAI MOTORS,SUMERPUR,RJ,#N/A
55489,10281,PRAKASH AUTO SALES,BASTI,UP,#N/A
55489,10361,SUBHASH TRACTORS,GORAKHPUR,UP,#N/A
55489,11808,GANESH AUTO SALES,DEORIA,UP,#N/A
55489,10443,ANSHUMAN TRADERS,GONDA,UP,#N/A
55489,10704,VINAYAK BAJAJ,VARANASI,UP,#N/A
55489,10759,GHIDIA  AGRO PVT LTD,BAHRAICH,UP,#N/A
55489,11366,GUPTA AUTO SALES,PADRAUNA,UP,#N/A
55489,11457,UDAY AUTOSALES PVT LTD,VARANASI,UP,#N/A
55489,11460,B.K.AUTO SALES,SIDDHARTH NAGAR,UP,#N/A
55489,11470,S.K.MOTORS,MAHARAJGANJ,UP,#N/A
55489,11534,G S PAL AUTO WHEELS PVT LTD,BALRAMPUR,UP,#N/A
55489,10501,SHYAM MOTORS,ORAI,UP,55489
55489,10650,SANTOSH MOTORS,AKBARPUR,UP,55489
54845,10074,CH.PYARE LALL & BROS.(AUTO DIVN) LT,PATHANKOT,PB,#N/A
54845,10089,DOABA AUTOMOBILES,AMRITSAR,PB,#N/A
54845,10103,BABA MOTORS,BATALA,PB,#N/A
54845,10168,JAMMU MOTORS PVT. LTD.,JAMMU,JK,#N/A
54845,10225,NEW STYLE FABRICATORS LTD.,JAMMU,JK,#N/A
54845,10273,RAMPA AUTOS LTD.,NAWANSHAHR,PB,#N/A
54845,10280,PARIS AUTOMOBILES,SRINAGAR,JK,#N/A
54845,10295,RAMPA AUTOS LTD.,HOSHIARPUR,PB,#N/A
54845,10624,BABA MOTORS,TARAN TARAN,PB,#N/A
54845,10659,NARAIN AUTO AGENCY,AMRITSAR,PB,#N/A
54845,10735,DEVIKA AUTOMOBILES (PVT) LTD,UDHAMPUR,JK,#N/A
54845,10956,BABA MOTORS,FEROZPUR,PB,#N/A
54845,11601,MADAAN MOTORS,GURDASPUR,PB,#N/A
54845,11605,RAVI DUTT MOTORS,FEROZPUR,PB,#N/A
56235,10651,RAJ MOTORS,BHADOHI,UP,#N/A
55783,11639,BALKRISHNA AUTO,RAJULA,GJ,#N/A
55783,10277,RAJARSHI AUTO DEALS PVT. LTD.,RAJKOT,GJ,#N/A
55783,10674,MAHESHWARI BAJAJ,MORBI,GJ,#N/A
55783,10860,MAHESHWARI BAJAJ,SURENDRANAGAR,GJ,#N/A
55783,11464,BANSIDHAR AUTO,JAMKHAMBALIYA,GJ,#N/A
55783,11466,PROGRESSIVE MOTORS PVT LTD,RAJKOT,GJ,#N/A
55783,11658,MADHUSUDAN SPICES PVT.LTD.,JAMNAGAR,GJ,#N/A
94978,10285,SURJEET AUTO AGENCY,BHOPAL,MP,#N/A
94978,10342,SANGHI AUTOMOBILES,BHOPAL,MP,#N/A
94978,10451,MAINA SHREE MOTORS,DEWAS,MP,#N/A
94978,10625,MADHUSUDAN BAJAJ,BURHANPUR,MP,#N/A
94978,10835,SUDARSHAN AUTOMOBILES,SEHORE,MP,#N/A
94978,10964,SURJEET AUTO AGENCY,HARDA (M P ),MP,#N/A
94978,11013,PRECIOUS AUTOMOTIVE PVT LTD,KHARGONE,MP,#N/A
94978,11336,SMH MARKETING COMPANY,ITARSI,MP,#N/A
94978,11436,SURJEET AUTO AGENCY,BHOPAL,MP,#N/A
94978,11455,RATHI MOTOS ( SHUJALPUR ) PRIVATE,SHUJALPUR,MP,#N/A
94978,11649,SACHIN BAJAJ,BETUL,MP,#N/A
54320,12094,BALHARA AUTO COMPANY,ASSANDH,HR,#N/A
54320,10120,EKTA AUTOMOBILES,KARNAL,HR,#N/A
54320,10534,PRATAP AUTO (INDIA) PVT LTD,PANCHAKULA,HR,#N/A
54320,10061,A.K.MOTOR COMPANY,KAITHAL,HR,#N/A
54320,10368,SUVIDHA TRADERS,PANIPAT,HR,#N/A
54320,11645,SBJ AGENCIES,AMBALA CANTT,HR,#N/A
54320,10138,GOYAL AUTOMOBILES,AMBALA,HR,#N/A
54320,10238,OM SCOOTERS,SONEPAT,HR,#N/A
54320,10629,SHREE KRISHNA AUTOMOBILES,KURUKSHETRA,HR,#N/A
54320,10203,KRISHNA AUTOMOBILES,JAGADHRI,HR,#N/A
54320,11459,RAJINDERA AUTOMOBILES,PEHOWA,HR,#N/A
54320,11456,BALHARA BAJAJ,ASSANDH,HR,#N/A
55801,10140,CHANDRA MOTORS,ETAH,UP,#N/A
55801,10163,JINDAL AUTOMOTIVE PVT.LTD.,FIROZABAD,UP,#N/A
55801,10181,KHANDELWAL AUTO AGENCIES (P) LTD.,MATHURA,UP,#N/A
55801,10214,MISHRA AUTO CENTRE,ETAWAH,UP,#N/A
55801,10314,SINGH AUTO LINK PVT.LTD.,BULANDSHAHR,UP,#N/A
55801,10322,STANDARD SCOOTERS,FARUKHABAD,UP,#N/A
55801,10344,SHIVA AUTOMOBILES (AUTO DIVN),ALIGARH,UP,#N/A
55801,10363,SHIEL AUTOS,AGRA,UP,#N/A
55801,10500,SHRI VED AUTOMOTIVES PVT.LTD.,AGRA,UP,#N/A
55801,11445,MANGLAM AUTOS,HATHRAS,UP,#N/A
55801,11809,OM AUTOVEHICLES PRIVATE LIMITED,AURIMORE,UP,55801
55801,10705,ANAND AUTOMOBILES,LALITPUR,UP,55801
55801,10235,NATRAJ MOBILES LTD.,JHANSI,UP,55801
